Month,Year,PartNo,Description,Quantity,Sales Price
1,2025,0503BA0290N-RK,ALFA HUB,149,5674.62
1,2025,0503BA0290N,Front Wheel Hub,456,8918.15
1,2025,0502BA1050N,Alfa Rear Wheel Hub LH,271,3898.96
1,2025,0502BA1060N,Alfa Rear Wheel Hub RH,283,10226.23
1,2025,0602AAB00260N,Brake Drum ALFA,341,6686.77
1,2025,0601AMJ00030N,Brake Drum -TREO,310,1250.66
1,2025,0601AAA00320N,B.D. E-Riksha,452,10097.6
1,2025,0601AED00170N,Brake Drum E-Rikshaw,520,2677.47
1,2025,0801AAA00960N,Clutch Housing LCC,107,1279.74
1,2025,006017472B92,Fly Wheel 3DI,153,9907.94
1,2025,006029533V91,Fly Wheel 3DI E1H1,511,7813.32
1,2025,006028861V92,475/575 4DI-NCRPTO,87,3763.66
1,2025,006028860V91,475/575 4DI-CRPTO,618,7998.22
1,2025,006022009B91,Fly Wheel Swraj,567,2521.6
1,2025,007903649B1,HUB(CRE),602,1475.66
1,2025,4D00322,BOSS BRAKCET,112,601.6
1,2025,005551418R8,F.A.S. (BP),366,1888.83
1,2025,F3S00100,Brake Drum 100,207,1308.4
1,2025,F8T00122,Brake Drum 122,221,7424.7
1,2025,F3S00222,Brake Drum 222,429,509.09
1,2025,F3S00422,Brake Drum 422,126,12312.05
1,2025,F8T01222,Brake Drum 1222,201,2581.62
1,2025,F8T02022,Brake Drum 2022,395,7556.32
1,2025,F1860822,BD (B) 1860822 -EDM,475,4002.69
1,2025,F1869022,BD F-1869022-EDM,293,8510.09
1,2025,F8T01922,Brake Drum 1922,681,6026.77
1,2025,F1879622,Brake Drum 9622,136,4652.53
1,2025,F1879722,Brake Drum 9722,508,9725.22
1,2025,F1869122,Brake Drum 9122,162,7634.02
1,2025,F3S00622,Brake Drum 622,489,827.16
1,2025,F5Z00120,Distence Pic Old 120,362,10932.97
1,2025,F5Z00112,Distence Pic Big 112,113,10577.05
1,2025,F1880122,Rear Hub 122,616,3838.45
1,2025,F1888822,Dummy Hub 822,396,7277.78
1,2025,F8S00622,Rear Hub-622,83,1553.8
1,2025,F1880222,Rear HUB-222,135,3004.06
1,2025,F8S01022,UB Hub 1022,114,2769.71
1,2025,FTF01222,UB Hub 1222,344,8968.12
1,2025,F1884622,Front Hub -622,84,9272.76
1,2025,F8S00922,UB Hub 922,458,5756.97
1,2025,F8S01322,Front HUB-1322,439,2597.78
1,2025,FTF01122,Hub 1122 MBP,411,3865.54
1,2025,FTF01022,Hub 1022 MBP,319,1155.93
1,2025,FTF03022,Rear Dummy HUB-3022,102,10948.21
1,2025,FH302622,Front Hub 2622 MBP,157,10679.09
1,2025,FTT02722,HUB-2722,540,658.47
1,2025,F3H01322,ARB FRAME MOUNTING BKT,239,11037.91
1,2025,F2R00122,SGM BKT-122,413,9389.84
1,2025,F8D01700,SGM BKT -1700,189,8182.23
1,2025,F-8D02722,SGM -2722,88,2888.27
1,2025,F8D01622,SGM -1622,290,6214.22
1,2025,F3H01122,ARB Axle M. BKt LH,457,9818.99
1,2025,F3H01222,ARB Axle M. BKt RH,187,1749.8
1,2025,B3F15503,Fly Wheel-503,347,3614.35
1,2025,B9805502,Flywheel Neptune,351,2197.26
1,2025,B2W02519,FIP Housing CB18,75,7200.8
1,2025,B2W01421,FIP Housing CB28,80,6344.78
1,2025,B2W01307,Fip Housing-1307,331,3025.39
1,2025,X1X00522,Thermostate Housing-522,779,5585.04
1,2025,X2H00622,T.G. Case,649,8603.33
1,2025,F7L09722,Rear Spring Bracket,289,7802.23
1,2025,F5F01822,AC Bracket -1822,235,9046.35
1,2025,F5F01722,AC Bracket -1722,433,2602.29
1,2025,F7Z05314,ATS BRACKET-5314,388,7928.6
1,2025,F7Z00122,ATS BRACKET-122,282,3196.15
1,2025,F7Z05414,ATS BRACKET-5414,559,2725.12
1,2025,F7Z10314,ATS BRACKET 10314,556,9769.55
1,2025,X6E03422,Nodo Bracket-3422,422,667.26
1,2025,X6E03522,Nodo Bracket-3522,92,7586.51
1,2025,X6E05222,Nodo Bracket-5222,162,8677.39
1,2025,X6E05122,Nodo Bracket-5122,321,9970.75
1,2025,330123920,Tata Cup Box,90,5141.25
1,2025,P3301201020,ACE RDE Box casting,296,2462.46
1,2025,330151420,Mega Ace,479,3410.8
1,2025,330134120,M&M 510,81,12715.17
1,2025,330134220V1,M&M 630,534,2626.12
1,2025,330931720,Cover Plate,932,11565.08
1,2025,502207C01,Side Cover C01,691,6618.67
1,2025,502207E 01,Side Cover Casting E01 (HFB 82),244,2131.71
1,2025,50170115,Valve Housing HFB 64,341,4497.15
1,2025,501707C06,Valve Housing casting,250,7574.61
1,2025,501707C03,Valve Housing casting-C03,463,10489.87
1,2025,501707E 01,Valve housing casting  E01 (HFB82),387,2303.05
1,2025,500127C06,LH Housing C06,253,3789.86
1,2025,500127C14,LH Housing C14,518,10659.08
1,2025,50012110,LH Housing 64,82,3993.38
1,2025,5.00E+08,LH Housing -82,372,1355.81
1,2025,666,BB-106,237,1744.56
1,2025,F1826722,B.D. 6722,69,2648.79
1,2025,257542303705,TATA BRAKE DRUM 3705,1146,4301.23
1,2025,263242303723,TATA BRAKE DRUM 3723,85,9343.36
1,2025,F1875722,Brake Drum -5722,371,3733.97
1,2025,277642303701,TATA BRAKE DRUM 3701,320,3879.21
1,2025,5.01E+11,Brake Drum 3702,159,12238.11
1,2025,0031002662AC,Rear Cover-6662,235,6418
1,2025,10006813CC,Rear Cover-6813,632,6802.81
1,2025,300053048A,Sviwel Housing LH,455,5834.9
1,2025,300053049A,Sviwel Housing RH,537,8221.34
1,2025,300130461B,Housing Input Pinion,338,8244.77
1,2025,300130468A,Cover steering cylinder mounting,397,10832.88
1,2025,300130474A,Housing hub stub axle,347,6869.69
1,2025,300145985A,Housing Axle King Shaft,306,5368.81
1,2025,10039106AB,Front Axle Housing LH-106 AB,78,3889.4
1,2025,10039104AC,Front Axle Housing RH-104 AC,537,6202.39
1,2025,10039098AB,"Front Axle Housing RH  (10039098AB)
",145,6079.87
1,2025,300422630A,Housing Front Axle Cover LH-630,691,11078.9
1,2025,300422616A,Housing Front Axle Cover RH-640,714,7540.72
1,2025,300137705B,Housing Front Axle Cover LH-705,503,8028.85
1,2025,300130478B,Housing Front Axle Cover RH-478,658,11115.32
1,2025,10051257CB,Front Axle Housing,307,7406.29
1,2025,1A8252-42110,Hydarulic Housing,81,986.32
1,2025,10071462AG,Integral Front Axle Bkt(Casting),235,8978.16
1,2025,5A8252-24701,COVER FRONT,286,5884.87
1,2025,5A8252-24240,COVER REAR,92,2638.4
1,2025,1A8252-43231-1,HEAD CYLINDER,484,7572.97
1,2025,1A8550-43210-1,HEAD CYLINDER-210,684,8545.52
1,2025,1A8252-47710,HINGE SUPPORT-8252,420,6723.89
1,2025,101281426000,Brake Drum -6000,460,9470.4
1,2025,101281426100,Brake Drum -6100,184,3067.66
1,2025,1SK-45870,HUB Tunring,484,9588.93
1,2025,(SE01B00G00037),Front Wheel hub Star Glow,573,984.69
1,2025,4256730,HUB-118,437,2857.84
1,2025,4252073,HUB-316,423,7561.39
1,2025,4252752,HUB-454,188,10337.24
1,2025,4255058,HUB-770,161,2893.81
1,2025,10055248BB,ASSY FRONT AXLE HOUSING PADDY SPECIAL,394,10124.13
1,2025,1A8252-13760-1,"GEARBOX, FRONT L ECN",320,2187.18
1,2025,1A8252-13770-1,"GEARBOX, FRONT R ECN",317,3153.68
1,2025,300167935A,Center Beam Housing -584/935,180,2948.32
1,2025,XBY00222,Bracket Engine,96,4001.22
1,2025,300137702C,CENTER BEAM HSG - Casting,408,9910.67
1,2025,M31149S002,Fron Wheel Hub Champ,536,7886.8
1,2025,X1821622,Housing Oil Cooler,364,4789.07
1,2025,B3F01301,Flywheel Boss,184,328.79
1,2025,F4W03322,FSFB Bracket - 3322,501,9821.23
1,2025,F4W03222,FSFB Bracket - 3222,304,11722.68
1,2025,X6E04822,NODO BRACKET -ECO-4822,205,7163.82
1,2025,F6A07422,Spring bracket-7422,460,12056.98
1,2025,7125600,Wheel - Drive,163,669.12
1,2025,8829617,Dual adapter hub,264,3638.84
1,2025,29324690,Disc Actuating,93,12220.57
1,2025,IC0305854,EICHER BRAKE DRUM,118,7592.16
1,2025,277642303714,Brake Drum 3714,170,4836.46
